TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,555592858,555592858,1,Monasavu Catchment,Monasavu Dam,Water Dam,Water Dam,National,VI,Not Applicable,0,0,0,7.06,7.10083566129989,Not Applicable,0,Designated,2004,For-profit organisations,Not Reported,Fiji Electricity Authority/WAF,Not Reported,State Verified,1865,FJ-C,FJI,FJI,Not Applicable,Not Applicable
Polygon,555592859,555592859,1,Sovi Basin Protected Area,Sovi Basin Protected Area,Conservation Reserve,Conservation Reserve,National,II,Not Applicable,0,0,0,20,204.921836009895,Not Applicable,0,Designated,2006,Federal or national ministry or agency,Not Reported,The National Trust of Fiji,Not Reported,State Verified,1865,FJ-C,FJI,FJI,Not Applicable,Not Applicable
Polygon,555547777,555547777,1,Yavusa Ulunivuaka,Yavusa Ulunivuaka,Locally Managed Marine Area,Locally Managed Marine Area,National,Not Reported,Not Applicable,1,1.7,0.862272333880656,1.7,1.69965100193186,Part,0.83,Designated,2003,Indigenous peoples,Not Reported,Qoliqoli Committee,Not Reported,State Verified,1865,FJ-E,FJI,FJI,Not Applicable,Not Applicable
Polygon,555547778,555547778,1,Yavusa Werelevu and Nagusu,Yavusa Werelevu and Nagusu,Locally Managed Marine Area,Locally Managed Marine Area,National,Not Reported,Not Applicable,1,7.929,5.07624986537792,7.929,7.96173548583755,Part,3.02,Designated,2003,Indigenous peoples,Not Reported,Qoliqoli Committee,Not Reported,State Verified,1865,FJ-E,FJI,FJI,Not Applicable,Not Applicable
Polygon,555547779,555547779,1,Yavusa Nasau,Yavusa Nasau,Locally Managed Marine Area,Locally Managed Marine Area,National,Not Reported,Not Applicable,1,5.92,3.60101537609028,5.92,5.9426268687312,Part,5.47,Designated,2003,Indigenous peoples,Not Reported,Qoliqoli Committee,Not Reported,State Verified,1865,FJ-E,FJI,FJI,Not Applicable,Not Applicable
Polygon,555547780,555547780,1,Yavusa Loto,Yavusa Loto,Locally Managed Marine Area,Locally Managed Marine Area,National,Not Reported,Not Applicable,1,5.48,1.83293424342439,5.48,5.49616458757476,Part,3.16,Designated,2003,Indigenous peoples,Not Reported,Qoliqoli Committee,Not Reported,State Verified,1865,FJ-E,FJI,FJI,Not Applicable,Not Applicable
Polygon,555547757,555547757,1,Dawasamu/Nasinu/Natacileka/Natale-i-ra/Silana,Vanua Dawasamu-Dawasamu/Nasinu/Natacileka/Natale-i-ra/Silana,Locally Managed Marine Area,Locally Managed Marine Area,National,Not Reported,Not Applicable,2,150.1,144.055743778592,150.1,149.979199284863,Part,1.11,Designated,2007,Indigenous peoples,Not Reported,Qoliqoli Committee,Not Reported,State Verified,1865,FJ-C,FJI,FJI,Not Applicable,Not Applicable
Polygon,555547758,555547758,1,Vacalea village/Lawaki village/Nukuvou village/Matasawalevu village/Tiliva village,Vanua Nakasaleka,Locally Managed Marine Area,Locally Managed Marine Area,National,Not Reported,Not Applicable,1,88.032,69.1429895897085,88.032,88.0499657020457,Part,10.87,Designated,2003,Indigenous peoples,Not Reported,Kadavu Yaubula Management Support Team,Not Reported,State Verified,1865,FJ-E,FJI,FJI,Not Applicable,Not Applicable
Polygon,555547759,555547759,1,Vanua Nasavusavu-Nagigi/Waivunia/Vivili/Nukubalavu/Yaroi,Vanua Nasavusavu-Nagigi/Waivunia/Vivili/Nukubalavu/Yaroi,Locally Managed Marine Area,Locally Managed Marine Area,National,Not Reported,Not Applicable,1,56.6,48.1762217548305,56.6,56.7908742900444,Part,20.6,Designated,2004,Indigenous peoples,Not Reported,Cakaudrove Management Support Team,Not Reported,State Verified,1865,FJ-N,FJI,FJI,Not Applicable,Not Applicable
Polygon,315523,315523,1,Sawaieke district-Vadravadra/Somosomo/Sawaieke/Nukuloa,Vanua Sawaieke-Vadravadra/Somosomo/Sawaieke/Nukuloa,Locally Managed Marine Area,Locally Managed Marine Area,National,VI,Not Applicable,2,149.72,143.200180312947,149.72,149.676408554316,Part,9.14,Designated,2002,Indigenous peoples,Not Reported,"Qoliqoli Committee, Tikina Sawaieke",Not Reported,State Verified,1865,FJ-E,FJI,FJI,Not Applicable,Not Applicable
